ensemble	scenario	struct	rank	stage	acc_sr	med_sr	high_sr
IB	loose	b	1	rigid	0.225	0.075	0.05
IB	loose	b	10	rigid	0.3	0.1	0.1
IB	loose	b	200	rigid	0.65	0.225	0.125
IB	loose	b	1	flex	0.175	0.125	0.075
IB	loose	b	10	flex	0.35	0.175	0.1
IB	loose	b	200	flex	0.7	0.275	0.1
IB	loose	b	1	emref	0.225	0.1	0.025
IB	loose	b	10	emref	0.325	0.15	0.1
IB	loose	b	200	emref	0.7	0.25	0.1
IBMu	mix-loose	b	1	rigid	0.25	0.15	0.125
IBMu	mix-loose	b	10	rigid	0.6	0.275	0.175
IBMu	mix-loose	b	200	rigid	0.975	0.575	0.275
IBMu	mix-loose	b	1	flex	0.325	0.275	0.125
IBMu	mix-loose	b	10	flex	0.625	0.425	0.2
IBMu	mix-loose	b	200	flex	0.95	0.65	0.25
IBMu	mix-loose	b	1	emref	0.25	0.175	0.05
IBMu	mix-loose	b	10	emref	0.625	0.375	0.175
IBMu	mix-loose	b	200	emref	0.95	0.65	0.225
IBMu	twohit	b	1	rigid	0.275	0.15	0.1
IBMu	twohit	b	10	rigid	0.525	0.25	0.125
IBMu	twohit	b	200	rigid	0.8	0.45	0.25
IBMu	twohit	b	1	flex	0.325	0.25	0.125
IBMu	twohit	b	10	flex	0.575	0.35	0.125
IBMu	twohit	b	200	flex	0.825	0.475	0.175
IBMu	twohit	b	1	emref	0.275	0.15	0.05
IBMu	twohit	b	10	emref	0.55	0.325	0.125
IBMu	twohit	b	200	emref	0.825	0.45	0.15
IB	loose	u	1	rigid	0.1	0.0	0.0
IB	loose	u	10	rigid	0.3	0.0	0.0
IB	loose	u	200	rigid	0.625	0.075	0.0
IB	loose	u	1	flex	0.175	0.025	0.0
IB	loose	u	10	flex	0.4	0.075	0.0
IB	loose	u	200	flex	0.7	0.125	0.0
IB	loose	u	1	emref	0.15	0.0	0.0
IB	loose	u	10	emref	0.35	0.025	0.0
IB	loose	u	200	emref	0.7	0.125	0.0
IBMu	mix-twohit	u	1	rigid	0.125	0.0	0.0
IBMu	mix-twohit	u	10	rigid	0.3	0.1	0.0
IBMu	mix-twohit	u	200	rigid	0.675	0.2	0.0
IBMu	mix-twohit	u	1	flex	0.15	0.075	0.0
IBMu	mix-twohit	u	10	flex	0.375	0.125	0.0
IBMu	mix-twohit	u	200	flex	0.675	0.2	0.0
IBMu	mix-twohit	u	1	emref	0.175	0.075	0.0
IBMu	mix-twohit	u	10	emref	0.375	0.125	0.0
IBMu	mix-twohit	u	200	emref	0.675	0.2	0.0
IB	real	b	1	rigid	0.325	0.175	0.075
IB	real	b	10	rigid	0.575	0.25	0.1
IB	real	b	200	rigid	0.9	0.55	0.125
IB	real	b	1	flex	0.45	0.25	0.125
IB	real	b	10	flex	0.7	0.45	0.125
IB	real	b	200	flex	0.925	0.725	0.125
IB	real	b	1	emref	0.475	0.225	0.1
IB	real	b	10	emref	0.675	0.35	0.125
IB	real	b	200	emref	0.925	0.725	0.125
IBMu	real	u	1	rigid	0.4	0.15	0.025
IBMu	real	u	10	rigid	0.725	0.275	0.025
IBMu	real	u	200	rigid	0.925	0.5	0.05
IBMu	real	u	1	flex	0.575	0.275	0.025
IBMu	real	u	10	flex	0.8	0.45	0.05
IBMu	real	u	200	flex	0.925	0.725	0.15
IBMu	real	u	1	emref	0.55	0.325	0.025
IBMu	real	u	10	emref	0.825	0.5	0.075
IBMu	real	u	200	emref	0.925	0.725	0.15
IBMoMu	loose	u	1	rigid	0.15	0.075	0.0
IBMoMu	loose	u	10	rigid	0.325	0.1	0.0
IBMoMu	loose	u	200	rigid	0.7	0.275	0.0
IBMoMu	loose	u	1	flex	0.15	0.025	0.0
IBMoMu	loose	u	10	flex	0.375	0.175	0.025
