scenario	scoring	top	CAPRI_class	sr
true	haddock	1	acceptable	67.44186046511628
true	haddock	1	medium	41.86046511627907
true	haddock	1	high	4.651162790697675
true	voro	1	acceptable	65.11627906976744
true	voro	1	medium	37.2093023255814
true	voro	1	high	2.3255813953488373
true	haddock	2	acceptable	81.3953488372093
true	haddock	2	medium	46.51162790697674
true	haddock	2	high	6.976744186046512
true	voro	2	acceptable	81.3953488372093
true	voro	2	medium	41.86046511627907
true	voro	2	high	2.3255813953488373
true	haddock	3	acceptable	86.04651162790698
true	haddock	3	medium	51.162790697674424
true	haddock	3	high	6.976744186046512
true	voro	3	acceptable	81.3953488372093
true	voro	3	medium	41.86046511627907
true	voro	3	high	2.3255813953488373
true	haddock	4	acceptable	90.69767441860465
true	haddock	4	medium	51.162790697674424
true	haddock	4	high	6.976744186046512
true	voro	4	acceptable	88.37209302325581
true	voro	4	medium	44.18604651162791
true	voro	4	high	2.3255813953488373
true	haddock	5	acceptable	93.02325581395348
true	haddock	5	medium	55.81395348837209
true	haddock	5	high	6.976744186046512
true	voro	5	acceptable	88.37209302325581
true	voro	5	medium	51.162790697674424
true	voro	5	high	2.3255813953488373
true	haddock	10	acceptable	93.02325581395348
true	haddock	10	medium	62.7906976744186
true	haddock	10	high	6.976744186046512
true	voro	10	acceptable	93.02325581395348
true	voro	10	medium	51.162790697674424
true	voro	10	high	2.3255813953488373
loose	haddock	1	acceptable	18.6046511627907
loose	haddock	1	medium	11.627906976744185
loose	haddock	1	high	0.0
loose	voro	1	acceptable	27.906976744186046
loose	voro	1	medium	11.627906976744185
loose	voro	1	high	0.0
loose	haddock	2	acceptable	27.906976744186046
loose	haddock	2	medium	18.6046511627907
loose	haddock	2	high	0.0
loose	voro	2	acceptable	32.55813953488372
loose	voro	2	medium	13.953488372093023
loose	voro	2	high	0.0
loose	haddock	3	acceptable	30.23255813953488
loose	haddock	3	medium	18.6046511627907
loose	haddock	3	high	0.0
loose	voro	3	acceptable	37.2093023255814
loose	voro	3	medium	13.953488372093023
loose	voro	3	high	0.0
loose	haddock	4	acceptable	32.55813953488372
loose	haddock	4	medium	18.6046511627907
loose	haddock	4	high	0.0
loose	voro	4	acceptable	44.18604651162791
loose	voro	4	medium	16.27906976744186
loose	voro	4	high	0.0
loose	haddock	5	acceptable	39.53488372093023
loose	haddock	5	medium	18.6046511627907
loose	haddock	5	high	0.0
loose	voro	5	acceptable	46.51162790697674
loose	voro	5	medium	16.27906976744186
loose	voro	5	high	0.0
loose	haddock	10	acceptable	51.162790697674424
loose	haddock	10	medium	18.6046511627907
loose	haddock	10	high	0.0
loose	voro	10	acceptable	51.162790697674424
loose	voro	10	medium	16.27906976744186
loose	voro	10	high	0.0
two-hit	haddock	1	acceptable	13.953488372093023
two-hit	haddock	1	medium	4.651162790697675
two-hit	haddock	1	high	0.0
two-hit	voro	1	acceptable	18.6046511627907
two-hit	voro	1	medium	11.627906976744185
two-hit	voro	1	high	0.0
two-hit	haddock	2	acceptable	23.25581395348837
two-hit	haddock	2	medium	9.30232558139535
two-hit	haddock	2	high	0.0
two-hit	voro	2	acceptable	27.906976744186046
two-hit	voro	2	medium	13.953488372093023
two-hit	voro	2	high	0.0
two-hit	haddock	3	acceptable	30.23255813953488
two-hit	haddock	3	medium	9.30232558139535
two-hit	haddock	3	high	0.0
two-hit	voro	3	acceptable	27.906976744186046
two-hit	voro	3	medium	13.953488372093023
two-hit	voro	3	high	0.0
two-hit	haddock	4	acceptable	32.55813953488372
two-hit	haddock	4	medium	13.953488372093023
two-hit	haddock	4	high	0.0
two-hit	voro	4	acceptable	34.883720930232556
two-hit	voro	4	medium	18.6046511627907
two-hit	voro	4	high	0.0
two-hit	haddock	5	acceptable	32.55813953488372
two-hit	haddock	5	medium	16.27906976744186
two-hit	haddock	5	high	0.0
two-hit	voro	5	acceptable	34.883720930232556
two-hit	voro	5	medium	18.6046511627907
two-hit	voro	5	high	0.0
two-hit	haddock	10	acceptable	39.53488372093023
two-hit	haddock	10	medium	16.27906976744186
two-hit	haddock	10	high	0.0
two-hit	voro	10	acceptable	41.86046511627907
two-hit	voro	10	medium	20.930232558139537
two-hit	voro	10	high	0.0
