ensemble	scenario	paratope_represented	dockq
ib_monom_multim	two-hit	87.5	0.1
ib	two-hit	55.55555555555556	0.085
ib_monom	two-hit	55.55555555555556	0.079
ib_multim	two-hit	55.55555555555556	0.109
ib_monom_multim	two-hit	55.55555555555556	0.09
ib	two-hit	84.21052631578947	0.612
ib_monom	two-hit	84.21052631578947	0.151
ib_multim	two-hit	84.21052631578947	0.877
ib_monom_multim	two-hit	84.21052631578947	0.877
ib	two-hit	85.71428571428571	0.105
ib_monom	two-hit	85.71428571428571	0.52
ib_multim	two-hit	85.71428571428571	0.618
ib_monom_multim	two-hit	85.71428571428571	0.773
ib	two-hit	72.22222222222221	0.071
ib_monom	two-hit	72.22222222222221	0.048
ib_multim	two-hit	72.22222222222221	0.827
ib_monom_multim	two-hit	72.22222222222221	0.827
ib	two-hit	48.38709677419355	0.042
ib_monom	two-hit	48.38709677419355	0.041
ib_multim	two-hit	48.38709677419355	0.029
ib_monom_multim	two-hit	48.38709677419355	0.039
ib	two-hit	90.0	0.309
ib_monom	two-hit	90.0	0.346
ib_multim	two-hit	90.0	0.58
ib_monom_multim	two-hit	90.0	0.668
ib	two-hit	50.0	0.038
ib_monom	two-hit	50.0	0.042
ib_multim	two-hit	50.0	0.037
ib_monom_multim	two-hit	50.0	0.037
ib	two-hit	86.66666666666667	0.119
ib_monom	two-hit	86.66666666666667	0.744
ib_multim	two-hit	86.66666666666667	0.873
ib_monom_multim	two-hit	86.66666666666667	0.873
ib	two-hit	35.13513513513514	0.063
ib_monom	two-hit	35.13513513513514	0.061
ib_multim	two-hit	35.13513513513514	0.061
ib_monom_multim	two-hit	35.13513513513514	0.071
ib	two-hit	75.0	0.124
ib_monom	two-hit	75.0	0.175
ib_multim	two-hit	75.0	0.867
ib_monom_multim	two-hit	75.0	0.897
ib	two-hit	100.0	0.067
ib_monom	two-hit	100.0	0.059
ib_multim	two-hit	100.0	0.061
ib_monom_multim	two-hit	100.0	0.066
ib	two-hit	47.05882352941176	0.062
ib_monom	two-hit	47.05882352941176	0.386
ib_multim	two-hit	47.05882352941176	0.042
ib_monom_multim	two-hit	47.05882352941176	0.042
ib	two-hit	72.22222222222221	0.113
ib_monom	two-hit	72.22222222222221	0.137
ib_multim	two-hit	72.22222222222221	0.162
ib_monom_multim	two-hit	72.22222222222221	0.157
ib	two-hit	79.16666666666666	0.161
ib_monom	two-hit	79.16666666666666	0.178
ib_multim	two-hit	79.16666666666666	0.195
ib_monom_multim	two-hit	79.16666666666666	0.212
ib	two-hit	63.63636363636363	0.072
ib_monom	two-hit	63.63636363636363	0.077
ib_multim	two-hit	63.63636363636363	0.077
ib_monom_multim	two-hit	63.63636363636363	0.079
ib	two-hit	75.0	0.104
ib_monom	two-hit	75.0	0.109
ib_multim	two-hit	75.0	0.097
ib_monom_multim	two-hit	75.0	0.109
ib	two-hit	100.0	0.543
ib_monom	two-hit	100.0	0.482
ib_multim	two-hit	100.0	0.354
ib_monom_multim	two-hit	100.0	0.354
ib	two-hit	77.77777777777779	0.036
ib_monom	two-hit	77.77777777777779	0.056
ib_multim	two-hit	77.77777777777779	0.043
