scenario	antigen	capri	top	sr_acceptable	sr_medium	sr_high
mix_loose	bound	2	1	30.23255813953488	18.6046511627907	13.953488372093023
mix_loose	unbound	2	1	20.930232558139537	11.627906976744185	0.0
mix_loose	bound	2	5	53.48837209302325	30.23255813953488	18.6046511627907
mix_loose	unbound	2	5	27.906976744186046	11.627906976744185	0.0
mix_loose	bound	2	10	60.46511627906976	30.23255813953488	18.6046511627907
mix_loose	unbound	2	10	27.906976744186046	11.627906976744185	0.0
mix_loose	bound	2	20	65.11627906976744	32.55813953488372	18.6046511627907
mix_loose	unbound	2	20	53.48837209302325	20.930232558139537	0.0
mix_loose	bound	2	50	74.4186046511628	37.2093023255814	18.6046511627907
mix_loose	unbound	2	50	67.44186046511628	25.581395348837212	0.0
mix_loose	bound	2	100	90.69767441860465	51.162790697674424	25.581395348837212
mix_loose	unbound	2	100	76.74418604651163	27.906976744186046	0.0
mix_loose	bound	2	200	97.67441860465115	60.46511627906976	27.906976744186046
mix_loose	unbound	2	200	83.72093023255815	32.55813953488372	0.0
mix_twohit	bound	2	1	27.906976744186046	13.953488372093023	9.30232558139535
mix_twohit	unbound	2	1	11.627906976744185	0.0	0.0
mix_twohit	bound	2	5	39.53488372093023	23.25581395348837	13.953488372093023
mix_twohit	unbound	2	5	25.581395348837212	9.30232558139535	0.0
mix_twohit	bound	2	10	48.837209302325576	25.581395348837212	13.953488372093023
mix_twohit	unbound	2	10	27.906976744186046	9.30232558139535	0.0
mix_twohit	bound	2	20	58.139534883720934	32.55813953488372	16.27906976744186
mix_twohit	unbound	2	20	34.883720930232556	11.627906976744185	0.0
mix_twohit	bound	2	50	67.44186046511628	37.2093023255814	18.6046511627907
mix_twohit	unbound	2	50	48.837209302325576	16.27906976744186	0.0
mix_twohit	bound	2	100	74.4186046511628	41.86046511627907	20.930232558139537
mix_twohit	unbound	2	100	55.81395348837209	16.27906976744186	0.0
mix_twohit	bound	2	200	76.74418604651163	46.51162790697674	25.581395348837212
mix_twohit	unbound	2	200	65.11627906976744	20.930232558139537	0.0
mix_loose	bound	6	1	30.23255813953488	27.906976744186046	13.953488372093023
mix_loose	unbound	6	1	13.953488372093023	6.976744186046512	0.0
mix_loose	bound	6	5	58.139534883720934	37.2093023255814	18.6046511627907
mix_loose	unbound	6	5	30.23255813953488	11.627906976744185	0.0
mix_loose	bound	6	10	67.44186046511628	48.837209302325576	20.930232558139537
mix_loose	unbound	6	10	44.18604651162791	18.6046511627907	0.0
mix_loose	bound	6	20	76.74418604651163	51.162790697674424	25.581395348837212
mix_loose	unbound	6	20	58.139534883720934	27.906976744186046	0.0
mix_loose	bound	6	50	83.72093023255815	58.139534883720934	25.581395348837212
mix_loose	unbound	6	50	72.09302325581395	34.883720930232556	0.0
mix_loose	bound	6	100	93.02325581395348	62.7906976744186	25.581395348837212
mix_loose	unbound	6	100	79.06976744186046	34.883720930232556	0.0
mix_loose	bound	6	200	97.67441860465115	67.44186046511628	25.581395348837212
mix_loose	unbound	6	200	81.3953488372093	37.2093023255814	0.0
mix_twohit	bound	6	1	32.55813953488372	23.25581395348837	13.953488372093023
mix_twohit	unbound	6	1	13.953488372093023	6.976744186046512	0.0
mix_twohit	bound	6	5	46.51162790697674	27.906976744186046	18.6046511627907
mix_twohit	unbound	6	5	27.906976744186046	9.30232558139535	0.0
mix_twohit	bound	6	10	51.162790697674424	34.883720930232556	18.6046511627907
mix_twohit	unbound	6	10	34.883720930232556	11.627906976744185	0.0
mix_twohit	bound	6	20	58.139534883720934	39.53488372093023	20.930232558139537
mix_twohit	unbound	6	20	46.51162790697674	13.953488372093023	0.0
mix_twohit	bound	6	50	65.11627906976744	44.18604651162791	23.25581395348837
mix_twohit	unbound	6	50	55.81395348837209	18.6046511627907	0.0
mix_twohit	bound	6	100	69.76744186046511	46.51162790697674	23.25581395348837
mix_twohit	unbound	6	100	62.7906976744186	23.25581395348837	0.0
mix_twohit	bound	6	200	72.09302325581395	48.837209302325576	23.25581395348837
mix_twohit	unbound	6	200	67.44186046511628	25.581395348837212	0.0
mix_loose	bound	8	1	27.906976744186046	18.6046511627907	4.651162790697675
mix_loose	unbound	8	1	9.30232558139535	4.651162790697675	0.0
mix_loose	bound	8	5	46.51162790697674	34.883720930232556	16.27906976744186
mix_loose	unbound	8	5	23.25581395348837	6.976744186046512	0.0
mix_loose	bound	8	10	60.46511627906976	39.53488372093023	16.27906976744186
mix_loose	unbound	8	10	34.883720930232556	18.6046511627907	0.0
mix_loose	bound	8	20	72.09302325581395	46.51162790697674	20.930232558139537
mix_loose	unbound	8	20	53.48837209302325	25.581395348837212	0.0
mix_loose	bound	8	50	83.72093023255815	58.139534883720934	20.930232558139537
mix_loose	unbound	8	50	72.09302325581395	27.906976744186046	0.0
mix_loose	bound	8	100	90.69767441860465	67.44186046511628	23.25581395348837
mix_loose	unbound	8	100	76.74418604651163	34.883720930232556	0.0
mix_loose	bound	8	200	97.67441860465115	67.44186046511628	23.25581395348837
mix_loose	unbound	8	200	81.3953488372093	34.883720930232556	0.0
mix_twohit	bound	8	1	25.581395348837212	16.27906976744186	9.30232558139535
mix_twohit	unbound	8	1	20.930232558139537	6.976744186046512	0.0
mix_twohit	bound	8	5	41.86046511627907	30.23255813953488	13.953488372093023
mix_twohit	unbound	8	5	32.55813953488372	11.627906976744185	0.0
mix_twohit	bound	8	10	46.51162790697674	30.23255813953488	16.27906976744186
mix_twohit	unbound	8	10	34.883720930232556	11.627906976744185	0.0
mix_twohit	bound	8	20	58.139534883720934	37.2093023255814	16.27906976744186
mix_twohit	unbound	8	20	48.837209302325576	13.953488372093023	0.0
mix_twohit	bound	8	50	62.7906976744186	41.86046511627907	18.6046511627907
mix_twohit	unbound	8	50	53.48837209302325	18.6046511627907	0.0
mix_twohit	bound	8	100	74.4186046511628	44.18604651162791	20.930232558139537
mix_twohit	unbound	8	100	62.7906976744186	25.581395348837212	0.0
mix_twohit	bound	8	200	74.4186046511628	46.51162790697674	20.930232558139537
mix_twohit	unbound	8	200	67.44186046511628	25.581395348837212	0.0
