scenario	antigen	bin	freq	min	max	median	n
True	bound	0.05	0.28795278795278795	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.05	0.269805112629714	-0.36	0.464	0.08800000000000002	3951
True	bound	0.1	0.16157916157916158	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.1	0.19362186788154898	-0.36	0.464	0.08800000000000002	3951
True	bound	0.15	0.1048026048026048	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.15	0.11718552265249305	-0.36	0.464	0.08800000000000002	3951
True	bound	0.2	0.04599104599104599	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.2	0.05416350291065553	-0.36	0.464	0.08800000000000002	3951
True	bound	0.25	0.019536019536019536	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.25	0.031131359149582385	-0.36	0.464	0.08800000000000002	3951
True	bound	0.3	0.008547008547008548	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.3	0.016198430777018477	-0.36	0.464	0.08800000000000002	3951
True	bound	0.35	0.00407000407000407	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.35	0.010377119716527461	-0.36	0.464	0.08800000000000002	3951
True	bound	0.4	0.0018315018315018315	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.4	0.001771703366236396	-0.36	0.464	0.08800000000000002	3951
True	bound	0.45	0.0010175010175010174	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.45	0.0002531004808909137	-0.36	0.464	0.08800000000000002	3951
True	bound	0.5	0.000814000814000814	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.5	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.55	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.55	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.6	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.6	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.65	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.65	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.7	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.7	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.75	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.75	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.8	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.8	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.85	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.85	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.9	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.9	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	0.95	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	0.95	0.0	-0.36	0.464	0.08800000000000002	3951
True	bound	1.0	0.0	-0.277	0.542	0.07200000000000001	4914
True	unbound	1.0	0.0	-0.36	0.464	0.08800000000000002	3951
Loose	bound	-1.0	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-1.0	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.95	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.95	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.9	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.9	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.85	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.85	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.8	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.8	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.75	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.75	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.7	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.7	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.65	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.65	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.6	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.6	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.55	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.55	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.5	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.5	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.45	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.45	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.4	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.4	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.35	0.0019474196689386564	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.35	0.002325581395348837	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.3	0.004868549172346641	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	-0.3	0.0011627906976744186	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	-0.25	0.004868549172346641	-0.327	0.49999999999999994	0.040000000000000036	1027
